,MatchNum,Country,Bowler,O,M,R,W,Econ,0s,4s,6s,Extra
257,23,Zimbabwe,TL Chatara,10,2,35,3,3.50,40,2,0,(6w)
258,23,Zimbabwe,T Mupariwa,8,1,36,1,4.50,30,3,0,(3w)
259,23,Zimbabwe,SC Williams,10,1,48,2,4.80,30,4,0,(1w)
260,23,Zimbabwe,H Masakadza,3,0,14,0,4.66,10,2,0,
261,23,Zimbabwe,E Chigumbura,1,0,7,0,7.00,3,0,0,(4w)
262,23,Zimbabwe,Sikandar Raza,7,0,34,1,4.85,17,0,0,
263,23,Zimbabwe,SF Mire,1,0,9,0,9.00,1,1,0,(1w)
264,23,Pakistan,Mohammad Irfan,10,2,30,4,3.00,47,2,0,(3w)
265,23,Pakistan,Sohail Khan,10,0,45,0,4.50,36,6,0,
266,23,Pakistan,Rahat Ali,10,0,37,1,3.70,38,2,0,"(1nb, 4w)"
267,23,Pakistan,Wahab Riaz,9.4,1,45,4,4.65,39,4,0,(2w)
268,23,Pakistan,Shahid Afridi,10,1,53,0,5.30,31,5,0,
269,24,Ireland,JF Mooney,7,2,52,1,7.42,25,3,3,"(2nb, 1w)"
270,24,Ireland,MC Sorensen,6,0,76,0,12.66,13,8,4,"(1nb, 6w)"
271,24,Ireland,KJ O'Brien,7,0,95,1,13.57,7,12,3,
272,24,Ireland,GH Dockrell,10,0,56,0,5.60,27,5,1,
273,24,Ireland,PR Stirling,10,0,68,0,6.80,15,6,0,
274,24,Ireland,AR McBrine,10,0,63,2,6.30,19,3,1,
275,24,South Africa,DW Steyn,8,0,39,2,4.87,28,5,0,
276,24,South Africa,KJ Abbott,8,0,21,4,2.62,37,2,0,(1w)
277,24,South Africa,M Morkel,9,0,34,3,3.77,40,5,0,(3w)
278,24,South Africa,Imran Tahir,10,1,50,0,5.00,37,5,2,
279,24,South Africa,F Behardien,2,0,13,0,6.50,3,1,0,
280,24,South Africa,RR Rossouw,2,0,13,0,6.50,2,0,0,
281,24,South Africa,F du Plessis,4,0,30,0,7.50,10,1,1,(1w)
282,24,South Africa,AB de Villiers,2,0,7,1,3.50,8,1,0,
283,25,United Arab Emirates,Mohammad Naveed,10,0,50,1,5.00,33,3,1,"(1nb, 1w)"
284,25,United Arab Emirates,AM Guruge,8,0,56,4,7.00,25,4,3,(2w)
285,25,United Arab Emirates,Amjad Javed,9,0,76,0,8.44,23,7,3,(2w)
286,25,United Arab Emirates,Mohammad Tauqir,10,0,52,0,5.20,24,3,0,(1w)
287,25,United Arab Emirates,Khurram Khan,3,0,21,0,7.00,6,1,1,
288,25,United Arab Emirates,Krishna Chandran,8,0,58,0,7.25,16,2,2,
289,25,United Arab Emirates,Rohan Mustafa,2,0,23,0,11.50,4,3,0,(2w)
290,25,Pakistan,Mohammad Irfan,3,1,2,0,0.66,16,0,0,
291,25,Pakistan,Sohail Khan,9,2,54,2,6.00,39,7,3,(3w)
292,25,Pakistan,Rahat Ali,10,0,30,1,3.00,42,2,0,(2w)
293,25,Pakistan,Wahab Riaz,10,1,54,2,5.40,34,3,1,(2w)
294,25,Pakistan,Shahid Afridi,10,1,35,2,3.50,35,1,0,(3w)
295,25,Pakistan,Sohaib Maqsood,5,0,16,1,3.20,21,0,1,(1w)
296,25,Pakistan,Haris Sohail,3,0,18,0,6.00,9,3,0,
297,26,Afghanistan,Dawlat Zadran,10,1,101,2,10.10,27,10,4,"(2nb, 3w)"
298,26,Afghanistan,Shapoor Zadran,10,0,89,2,8.90,25,7,5,"(1nb, 2w)"
299,26,Afghanistan,Hamid Hassan,10,0,70,1,7.00,18,7,0,(1w)
300,26,Afghanistan,Mohammad Nabi,10,0,84,0,8.40,22,6,4,(1w)
301,26,Afghanistan,Samiullah Shenwari,5,0,34,0,6.80,13,5,0,
302,26,Afghanistan,Javed Ahmadi,4,0,18,0,4.50,8,0,0,
303,26,Afghanistan,Nawroz Mangal,1,0,14,1,14.00,1,1,1,
304,26,Australia,MA Starc,6,0,18,2,3.00,24,1,0,
305,26,Australia,JR Hazlewood,8,1,25,2,3.12,37,2,0,(3w)
306,26,Australia,MG Johnson,7.3,0,22,4,2.93,35,1,0,(5w)
307,26,Australia,MJ Clarke,5,0,14,1,2.80,18,0,0,
308,26,Australia,MR Marsh,3,0,25,0,8.33,10,1,2,(1w)
309,26,Australia,JP Faulkner,4,0,8,0,2.00,19,0,0,"(1nb, 1w)"
310,26,Australia,GJ Maxwell,4,1,21,1,5.25,15,1,1,
311,27,Bangladesh,Mashrafe Mortaza,8,0,60,1,7.50,25,7,2,"(1nb, 1w)"
312,27,Bangladesh,Shakib Al Hasan,10,0,46,1,4.60,31,1,2,(1w)
313,27,Bangladesh,Taskin Ahmed,7,0,43,3,6.14,20,6,0,(2w)
314,27,Bangladesh,Rubel Hossain,8,0,60,0,7.50,25,8,2,(1w)
315,27,Bangladesh,Mahmudullah,5,0,29,0,5.80,15,2,1,
316,27,Bangladesh,Sabbir Rahman,7,0,47,1,6.71,13,3,1,
317,27,Bangladesh,Nasir Hossain,5,0,32,2,6.40,10,1,1,
318,27,Scotland,I Wardlaw,9.1,0,75,1,8.18,26,9,2,(2w)
319,27,Scotland,JH Davey,10,0,68,2,6.80,26,6,1,(5w)
320,27,Scotland,AC Evans,10,1,67,1,6.70,31,8,2,
321,27,Scotland,MW Machan,7,0,45,0,6.42,13,2,1,
