,MatchNum,Country,Batsman,Dismissal-Info,R,M,B,4s,6s,SR
265,16,United Arab Emirates,Shaiman Anwar,c †Wilson b Sorensen,106,126,83,10,1,127.71
266,16,United Arab Emirates,Rohan Mustafa,c †Wilson b Cusack,2,13,9,0,0,22.22
267,16,United Arab Emirates,Amjad Javed,c Joyce b Sorensen,42,55,35,5,0,120.00
268,16,United Arab Emirates,Mohammad Naveed,c & b Cusack,13,19,11,2,0,118.18
269,16,United Arab Emirates,Mohammad Tauqir*,not out,2,6,2,0,0,100.00
270,16,United Arab Emirates,AM Guruge,not out,0,1,0,0,0,-
271,16,Ireland,WTS Porterfield*,b Mohammad Tauqir,37,102,64,2,0,57.81
272,16,Ireland,PR Stirling,c †Patil b Guruge,3,7,9,0,0,33.33
273,16,Ireland,EC Joyce,c †Patil b Amjad Javed,37,77,49,3,0,75.51
274,16,Ireland,NJ O'Brien,lbw b Mohammad Tauqir,17,22,24,1,0,70.83
275,16,Ireland,A Balbirnie,c sub (Saqlain Haider) b Mohammad Naveed,30,55,41,1,0,73.17
276,16,Ireland,GC Wilson†,c Amjad Javed b Mohammad Naveed,80,101,69,9,0,115.94
277,16,Ireland,KJ O'Brien,c Mohammad Naveed b Amjad Javed,50,34,25,8,2,200.00
278,16,Ireland,JF Mooney,c Amjad Ali b Amjad Javed,2,14,6,0,0,33.33
279,16,Ireland,AR Cusack,not out,5,10,6,0,0,83.33
280,16,Ireland,GH Dockrell,not out,7,8,5,1,0,140.00
281,17,Scotland,KJ Coetzer,b Dawlat Zadran,25,52,41,5,0,60.97
282,17,Scotland,CS MacLeod,c Najibullah Zadran b Dawlat Zadran,0,10,5,0,0,0.00
283,17,Scotland,HJW Gardiner,lbw b Hamid Hassan,5,40,20,0,0,25.00
284,17,Scotland,MW Machan,b Mohammad Nabi,31,46,28,4,0,110.71
285,17,Scotland,PL Mommsen*,c †Afsar Zazai b Gulbadin Naib,23,48,36,4,0,63.88
286,17,Scotland,RD Berrington,c †Afsar Zazai b Dawlat Zadran,25,66,46,2,0,54.34
287,17,Scotland,MH Cross†,c †Afsar Zazai b Shapoor Zadran,15,30,26,1,0,57.69
288,17,Scotland,JH Davey,c Hamid Hassan b Shapoor Zadran,1,12,9,0,0,11.11
289,17,Scotland,RM Haq,c Gulbadin Naib b Shapoor Zadran,31,74,51,3,0,60.78
290,17,Scotland,AC Evans,c Mohammad Nabi b Shapoor Zadran,28,59,37,3,0,75.67
291,17,Scotland,I Wardlaw,not out,1,4,2,0,0,50.00
292,17,Afghanistan,Javed Ahmadi,c Machan b Berrington,51,80,51,8,0,100.00
293,17,Afghanistan,Nawroz Mangal,b Evans,7,31,13,0,0,53.84
294,17,Afghanistan,Asghar Stanikzai,c †Cross b Evans,4,3,3,1,0,133.33
295,17,Afghanistan,Samiullah Shenwari,c Davey b Haq,96,176,147,7,5,65.30
296,17,Afghanistan,Mohammad Nabi*,lbw b Davey,1,10,3,0,0,33.33
297,17,Afghanistan,Afsar Zazai†,lbw b Berrington,0,4,1,0,0,0.00
298,17,Afghanistan,Najibullah Zadran,c Haq b Berrington,4,9,5,1,0,80.00
